cid,abonds,atoms,bonds,dbonds,HBA1,HBA2,HBD,logP,MR,MW,nF,sbonds,tbonds,TPSA
320760,0.0,126.0,132.0,0.0,90.0,30.0,18.0,-13.05480000000001,194.30040000000008,972.8435999999989,0.0,132.0,0.0,474.90000000000015
320761,0.0,147.0,154.0,0.0,105.0,35.0,21.0,-15.230600000000015,226.68380000000013,1134.984199999999,0.0,154.0,0.0,554.0500000000002
86575,0.0,168.0,176.0,0.0,120.0,40.0,24.0,-17.406400000000016,259.0672000000001,1297.124799999999,0.0,176.0,0.0,633.2000000000003
62698,0.0,66.0,68.0,0.0,48.0,16.0,11.0,-7.5729999999999915,100.50280000000001,504.43708000000044,0.0,68.0,0.0,268.67999999999995
439177,0.0,87.0,90.0,0.0,63.0,21.0,14.0,-9.748800000000005,132.8862,666.5776799999986,0.0,90.0,0.0,347.83000000000004
439306,0.0,66.0,68.0,0.0,48.0,16.0,11.0,-7.5729999999999915,100.50280000000001,504.43708000000044,0.0,68.0,0.0,268.67999999999995
35717,0.0,30.0,30.0,1.0,22.0,7.0,5.0,-2.6866999999999983,47.189899999999994,221.20779999999976,0.0,29.0,0.0,119.25
906,0.0,40.0,40.0,2.0,29.0,10.0,7.0,-3.4808999999999983,64.5825,309.2698600000002,0.0,38.0,0.0,176.78
439507,0.0,24.0,24.0,0.0,18.0,6.0,5.0,-3.221399999999998,35.736,180.15587999999985,0.0,24.0,0.0,110.38000000000001
656516,6.0,59.0,61.0,0.0,39.0,12.0,7.0,-3.1080199999999936,101.89259999999999,457.42848000000026,0.0,54.0,1.0,202.32
229,0.0,20.0,20.0,0.0,15.0,5.0,4.0,-2.5822999999999987,29.767200000000003,150.1298999999999,0.0,20.0,0.0,90.15
827,0.0,22.0,21.0,0.0,17.0,5.0,5.0,-2.946299999999999,31.958000000000002,152.1457799999999,0.0,21.0,0.0,101.15
827,0.0,22.0,21.0,0.0,17.0,5.0,5.0,-2.946299999999999,31.958000000000002,152.1457799999999,0.0,21.0,0.0,101.15
346,6.0,35.0,36.0,0.0,23.0,7.0,5.0,-1.429099999999997,62.61020000000001,272.25124000000017,0.0,30.0,0.0,119.61000000000001
441475,0.0,19.0,19.0,0.0,14.0,4.0,3.0,-1.5530999999999997,28.605400000000003,134.13049999999996,0.0,19.0,0.0,69.92
8998,0.0,18.0,17.0,0.0,14.0,4.0,4.0,-2.307199999999999,25.989200000000004,122.11980000000004,0.0,17.0,0.0,80.92
19466,0.0,23.0,23.0,0.0,17.0,5.0,4.0,-2.1937999999999986,34.574200000000005,164.15647999999987,0.0,23.0,0.0,90.15
193417,0.0,41.0,41.0,1.0,30.0,10.0,7.0,-4.915499999999995,63.37959999999999,312.27050000000025,0.0,40.0,0.0,177.14
441422,0.0,45.0,46.0,0.0,33.0,11.0,8.0,-5.397199999999996,68.1194,342.29648000000026,0.0,46.0,0.0,189.52999999999997
206,0.0,24.0,24.0,0.0,18.0,6.0,5.0,-3.221399999999998,35.736,180.15587999999985,0.0,24.0,0.0,110.38000000000001
854,0.0,20.0,19.0,1.0,15.0,5.0,4.0,-2.739699999999999,30.996199999999998,150.1298999999999,0.0,18.0,0.0,97.99000000000001
3871,0.0,47.0,47.0,0.0,35.0,11.0,9.0,-5.761199999999995,70.3102,344.3123600000003,0.0,47.0,0.0,200.52999999999997
2108,0.0,27.0,27.0,0.0,20.0,6.0,4.0,-2.5672999999999977,40.46619999999999,194.18245999999982,0.0,27.0,0.0,99.38000000000001
94214,0.0,27.0,27.0,0.0,20.0,6.0,4.0,-2.5672999999999977,40.46619999999999,194.18245999999982,0.0,27.0,0.0,99.38000000000001
83246,0.0,27.0,27.0,0.0,20.0,6.0,4.0,-2.5672999999999977,40.46619999999999,194.18245999999982,0.0,27.0,0.0,99.38000000000001
2108,0.0,27.0,27.0,0.0,20.0,6.0,4.0,-2.5672999999999977,40.46619999999999,194.18245999999982,0.0,27.0,0.0,99.38000000000001
99057,0.0,23.0,23.0,0.0,17.0,5.0,3.0,-1.9281999999999997,34.497400000000006,164.15647999999987,0.0,23.0,0.0,79.15
